iteration,1,2,3,4
362,15828,17887,44806,1301
363,15828,17886,44797,1289
364,15828,17885,44814,1282
365,15828,17885,44814,1273
366,15829,17884,44824,1262
367,15828,17883,44839,1253
368,15828,17882,44848,1245
369,15828,17883,44840,1233
370,15830,17883,44842,1228
371,15830,17884,44840,1217
372,15830,17884,44847,1205
373,15830,17884,44865,1196
374,15831,17887,44863,1188
375,15830,17888,44869,1173
376,15830,17887,44865,1167
377,15829,17887,44909,1162
378,15830,17887,44918,1155
379,15829,17887,44923,1151
380,15829,17888,44949,1141
381,15828,17887,44960,1132
382,15831,17886,44948,1126
383,15831,17885,44957,1123
384,15831,17885,44966,1121
385,15831,17886,44970,1114
386,15832,17885,44972,1112
387,15832,17886,44979,1106
388,15831,17886,44987,1099
389,15833,17885,44985,1094
390,15833,17885,44992,1088
391,15833,17886,45012,1085
392,15834,17887,45009,1080
393,15834,17888,44996,1076
394,15835,17889,44992,1073
395,15835,17890,44994,1065
396,15834,17890,44993,1058
397,15836,17890,45019,1055
398,15838,17890,45011,1048
399,15839,17890,45009,1044
400,15838,17890,45011,1042
401,15839,17889,45011,1041
402,15838,17887,45011,1039
403,15838,17887,45005,1036
404,15837,17887,45002,1030
405,15835,17886,45012,1024
406,15834,17888,45031,1018
407,15832,17890,45038,1013
408,15832,17892,45024,1005
409,15831,17891,45011,999
410,15832,17891,45026,989
411,15832,17893,45032,986
412,15831,17890,45025,977
413,15829,17890,45022,977
414,15827,17891,45019,967
415,15827,17892,45008,961
416,15829,17893,45005,958
417,15827,17894,44964,950
418,15827,17895,44945,945
419,15829,17897,44890,939
420,15828,17897,44863,933
421,15829,17895,44808,928
422,15831,17895,44709,921
423,15834,17893,44630,917
424,15838,17890,44686,911
425,15837,17889,44644,895
426,15835,17887,44638,882
427,15832,17881,44561,876
428,15827,17873,44563,855
429,15821,17869,44524,844
430,15813,17861,44517,830
431,15808,17857,44581,819
432,15801,17854,44568,800
433,15797,17849,44588,794
434,15784,17842,44626,771
435,15772,17832,44703,755
436,15754,17818,44754,745
437,15744,17810,44770,735
438,15734,17797,44840,729
439,15726,17782,44875,714
440,15715,17774,44872,704
441,15701,17772,44913,695
442,15694,17760,44954,686
443,15685,17754,44983,681
444,15675,17746,45111,676
445,15668,17734,45101,669
446,15658,17727,45112,665
447,15645,17715,45168,655
448,15635,17709,45266,649
449,15632,17694,45297,634
450,15628,17684,45380,617
451,15623,17680,45464,609
452,15616,17672,45466,606
453,15610,17665,45519,599
454,15605,17660,45575,588
455,15601,17659,45679,580
456,15597,17658,45728,569
457,15596,17653,45736,564
458,15592,17653,45795,557
459,15590,17653,45812,549
460,15587,17649,45833,542
461,15586,17645,45871,537
462,15582,17642,45888,532
463,15582,17643,45912,527
464,15581,17642,45946,521
465,15581,17641,45976,518
466,15583,17639,45994,515
467,15579,17638,46021,508
468,15576,17637,46033,506
469,15576,17636,46060,505
470,15573,17633,46079,505
471,15573,17631,46075,500
472,15573,17632,46087,498
473,15574,17634,46097,491
474,15574,17633,46111,484
475,15574,17633,46083,481
476,15575,17633,46107,475
477,15574,17632,46111,473
478,15573,17632,46100,465
479,15572,17633,46098,462
480,15573,17633,46104,455
481,15573,17632,46128,455
482,15573,17633,46122,449
483,15574,17633,46111,441
484,15573,17633,46105,438
485,15574,17633,46123,429
486,15575,17633,46148,424
487,15577,17633,46131,419
488,15577,17632,46140,413
489,15578,17631,46118,407
490,15578,17631,46137,401
491,15577,17633,46140,397
492,15576,17633,46150,392
493,15575,17633,46153,385
494,15575,17634,46144,380
495,15575,17635,46159,374
496,15574,17633,46170,369
497,15575,17633,46137,366
498,15574,17631,46164,363
499,15575,17632,46190,361
500,15575,17631,46192,359
501,15574,17631,46178,354
502,15574,17632,46183,354
503,15575,17631,46185,350
504,15575,17631,46196,350
505,15574,17632,46198,351
506,15575,17632,46193,346
507,15576,17632,46186,344
508,15575,17632,46199,344
509,15575,17632,46212,342
510,15574,17634,46223,341
511,15575,17633,46222,337
512,15575,17633,46214,334
513,15576,17635,46215,333
514,15577,17636,46215,332
515,15577,17635,46205,330
516,15579,17635,46202,326
517,15579,17635,46193,323
518,15577,17634,46190,321
519,15577,17635,46185,320
520,15578,17637,46163,320
521,15577,17636,46162,318
522,15577,17636,46151,316
523,15579,17635,46142,315
524,15582,17636,46118,310
525,15583,17638,46090,309
526,15583,17638,46037,305
527,15578,17638,46048,303
528,15580,17636,46050,301
529,15580,17634,46020,298
530,15580,17633,45977,296
531,15579,17631,45950,288
532,15579,17632,45882,288
533,15577,17628,45847,286
534,15576,17630,45792,285
535,15572,17628,45756,284
536,15569,17626,45738,283
537,15567,17625,45722,277
538,15560,17625,45672,273
539,15560,17625,45647,271
540,15557,17622,45657,272
541,15555,17618,45690,270
542,15549,17613,45639,263
543,15545,17611,45604,260
544,15542,17602,45606,261
545,15536,17596,45609,261
546,15531,17590,45684,259
547,15523,17580,45678,254
548,15522,17573,45674,254
549,15513,17566,45698,251
550,15505,17559,45729,251
551,15500,17550,45716,246
552,15492,17547,45757,242
553,15492,17541,45753,241
554,15488,17533,45853,241
555,15481,17521,45958,234
556,15469,17515,45992,232
557,15462,17512,46052,230
558,15458,17506,46100,231
559,15454,17501,46087,227
