iteration,1,2,3,4,5
359,2042,2208,1,42872,2017
360,2032,2224,0,42910,2041
361,2047,2250,0,42942,2055
362,2039,2274,1,42953,2059
363,2076,2315,1,42956,2084
364,2082,2330,2,42993,2114
365,2107,2358,2,43032,2155
366,2120,2390,2,43082,2162
367,2157,2420,2,43120,2194
368,2182,2457,1,43173,2231
369,2184,2490,1,43226,2249
370,2227,2526,0,43279,2291
371,2258,2556,1,43335,2323
372,2290,2588,1,43373,2368
373,2315,2645,0,43403,2416
374,2364,2698,0,43470,2462
375,2400,2750,0,43506,2488
376,2434,2810,0,43497,2532
377,2459,2876,0,43519,2578
378,2490,2919,0,43562,2635
379,2514,2970,1,43605,2666
380,2561,3033,1,43655,2697
381,2608,3083,2,43716,2733
382,2652,3136,2,43767,2778
383,2709,3177,1,43801,2822
384,2760,3204,0,43859,2864
385,2821,3283,1,43895,2913
386,2872,3344,0,43925,2975
387,2915,3413,0,43974,3025
388,2964,3463,0,43994,3088
389,3010,3514,0,44025,3142
390,3076,3574,0,44047,3207
391,3124,3626,0,44059,3258
392,3148,3670,0,44086,3313
393,3215,3721,0,44099,3366
394,3283,3778,0,44133,3426
395,3320,3818,0,44169,3467
396,3379,3873,1,44177,3518
397,3428,3949,0,44188,3591
398,3480,3997,0,44195,3634
399,3522,4051,1,44214,3682
400,3586,4113,1,44237,3741
401,3644,4180,1,44243,3788
402,3708,4248,1,44254,3867
403,3783,4294,1,44258,3940
404,3829,4360,1,44284,3993
405,3879,4413,1,44313,4056
406,3943,4475,0,44325,4115
407,3999,4551,0,44318,4174
408,4061,4604,3,44308,4224
409,4105,4646,2,44332,4277
410,4139,4703,2,44326,4322
411,4201,4777,2,44308,4374
412,4259,4848,0,44293,4433
413,4300,4902,1,44292,4467
414,4337,4982,3,44270,4546
415,4380,5031,1,44223,4615
416,4437,5075,1,44194,4641
417,4490,5123,1,44175,4689
418,4536,5165,0,44162,4738
419,4584,5243,0,44122,4785
420,4635,5307,0,44054,4821
421,4684,5332,0,44008,4872
422,4711,5382,0,43945,4902
423,4744,5428,0,43865,4922
424,4781,5466,0,43785,4951
425,4801,5481,0,43664,4984
426,4815,5482,0,43546,4998
427,4834,5514,0,43355,5015
428,4853,5517,0,43140,5045
429,4860,5495,1,42907,5061
430,4855,5483,1,42635,5070
431,4841,5454,0,42260,5054
432,4821,5418,0,41892,5019
433,4754,5337,0,41416,4970
434,4659,5240,1,40959,4887
435,4500,5141,1,40572,4768
436,4335,4943,1,40241,4636
437,4143,4781,0,39737,4472
438,3931,4617,2,39351,4322
439,3722,4416,2,39153,4105
440,3502,4161,2,39057,3883
441,3365,3983,1,38973,3710
442,3161,3760,1,38998,3542
443,3056,3603,1,38961,3351
444,2876,3426,1,39048,3217
445,2726,3267,0,39117,3088
446,2604,3118,0,39299,2938
447,2482,2984,1,39462,2806
448,2383,2884,0,39540,2709
449,2289,2803,0,39637,2615
450,2200,2721,0,39735,2540
451,2131,2629,0,39837,2470
452,2092,2555,0,39881,2415
453,2065,2474,0,39923,2394
454,2024,2428,0,39943,2356
455,1991,2380,0,39980,2343
456,1947,2350,0,40097,2284
457,1939,2341,1,40190,2242
458,1929,2326,1,40210,2219
459,1910,2325,2,40167,2216
460,1886,2298,2,40165,2212
461,1859,2287,2,40205,2216
462,1852,2293,1,40192,2222
463,1846,2280,0,40173,2237
464,1850,2275,0,40200,2241
465,1843,2263,0,40212,2237
466,1857,2270,0,40211,2237
467,1866,2270,0,40226,2237
468,1868,2296,0,40256,2238
469,1880,2309,2,40257,2247
470,1877,2354,2,40216,2264
471,1900,2366,2,40233,2270
472,1919,2383,2,40214,2271
473,1930,2388,1,40217,2285
474,1941,2405,2,40199,2287
475,1965,2422,2,40203,2290
476,1982,2442,2,40244,2297
477,1981,2455,1,40256,2311
478,2012,2464,0,40268,2320
479,2047,2493,1,40335,2331
480,2088,2524,1,40343,2345
481,2116,2551,0,40360,2347
482,2146,2565,0,40386,2369
483,2189,2581,0,40384,2399
484,2222,2625,0,40393,2419
485,2236,2660,0,40376,2448
486,2268,2692,0,40409,2451
487,2312,2743,2,40414,2452
488,2338,2785,2,40439,2481
489,2366,2808,1,40446,2509
490,2389,2842,1,40467,2541
491,2411,2884,2,40470,2560
492,2420,2926,2,40481,2585
493,2471,2978,2,40468,2608
494,2513,3036,1,40487,2623
495,2550,3070,3,40505,2633
496,2573,3109,2,40523,2668
497,2596,3148,1,40558,2689
498,2631,3212,0,40570,2727
499,2661,3265,0,40577,2744
500,2674,3315,0,40576,2779
501,2703,3365,0,40568,2825
502,2702,3413,0,40576,2858
503,2740,3452,0,40581,2896
504,2769,3510,0,40582,2916
505,2802,3556,0,40611,2935
506,2840,3600,1,40628,2978
507,2880,3650,1,40632,3016
508,2906,3689,0,40638,3061
509,2950,3739,0,40592,3099
510,3001,3767,0,40574,3150
511,3031,3798,0,40570,3187
512,3072,3846,0,40537,3231
513,3098,3868,0,40531,3254
514,3109,3891,0,40501,3299
515,3129,3912,1,40481,3342
516,3162,3947,2,40447,3384
517,3197,3978,2,40437,3415
518,3222,4004,2,40416,3450
519,3248,4044,2,40398,3476
520,3274,4075,1,40386,3510
521,3305,4108,1,40351,3548
522,3339,4153,1,40304,3594
523,3369,4186,1,40247,3645
524,3402,4220,1,40192,3652
525,3433,4264,1,40142,3687
526,3461,4304,2,40066,3726
527,3493,4334,3,40002,3750
528,3518,4385,2,39920,3781
529,3539,4409,2,39864,3803
530,3554,4431,2,39803,3832
531,3580,4439,2,39701,3851
532,3609,4461,2,39570,3878
533,3627,4467,2,39442,3887
534,3629,4466,2,39338,3898
535,3649,4463,2,39184,3912
536,3646,4475,2,39028,3931
537,3667,4470,3,38795,3956
538,3670,4458,3,38593,3918
539,3670,4437,2,38381,3888
540,3655,4412,2,38102,3863
