iteration,1,2,3
441,5998,515,36590
442,6599,485,36440
443,7409,445,36217
444,8113,412,36052
445,8995,385,35800
446,9927,361,35547
447,10970,338,35244
448,11963,313,34993
449,13066,299,34666
450,14310,278,34314
451,15470,263,33975
452,16822,251,33583
453,18076,236,33246
454,19304,225,32821
455,20830,222,32366
456,22284,218,31925
457,23861,229,31472
458,25591,241,30968
459,27029,264,30549
460,28666,283,30008
461,30442,305,29447
462,32217,336,28934
463,33802,371,28443
464,35534,407,27916
465,37092,443,27443
466,38728,486,26865
467,40458,530,26415
468,41943,596,25893
469,43115,651,25499
470,44440,713,25055
471,45765,766,24628
472,47093,855,24176
473,48379,916,23746
474,49216,1011,23445
475,50011,1110,23127
476,50896,1212,22786
477,51724,1314,22483
478,52109,1430,22255
479,52449,1571,22011
480,52780,1655,21848
481,52980,1780,21690
482,53288,1897,21497
483,53169,2017,21432
484,53199,2134,21337
485,53233,2280,21231
486,53099,2433,21152
487,52998,2566,21057
488,52815,2728,20999
489,52703,2834,20938
490,52542,2969,20880
491,52257,3108,20851
492,52008,3258,20820
493,51731,3407,20765
494,51428,3576,20713
495,51130,3718,20691
496,50911,3875,20660
497,50575,4058,20630
498,50361,4180,20589
499,50080,4324,20559
500,49804,4476,20508
501,49560,4647,20452
502,49286,4834,20419
503,49010,5001,20391
504,48726,5162,20380
505,48320,5362,20342
506,48004,5520,20309
507,47716,5686,20261
508,47462,5855,20238
509,47124,6056,20153
510,46853,6238,20106
511,46578,6418,20086
512,46243,6604,20087
513,45813,6805,20054
514,45510,6983,20009
515,45213,7179,19977
516,44798,7403,19959
517,44418,7603,19915
518,44135,7791,19893
519,43694,8020,19893
520,43289,8195,19899
521,42862,8388,19888
522,42497,8578,19866
523,42198,8774,19861
524,41807,8975,19844
525,41464,9163,19834
526,41124,9358,19804
527,40684,9572,19806
528,40234,9782,19785
529,39851,9990,19806
530,39443,10190,19816
531,39053,10385,19797
532,38549,10588,19795
533,38087,10789,19797
534,37630,10998,19825
535,37159,11186,19810
536,36709,11402,19855
537,36263,11616,19814
538,35837,11824,19757
539,35367,12031,19772
540,34959,12260,19723
541,34688,12478,19727
542,34214,12689,19702
543,33765,12911,19653
544,33342,13114,19592
545,32829,13349,19576
546,32409,13576,19513
547,32064,13768,19489
548,31592,13980,19484
549,31171,14231,19478
550,30730,14428,19455
551,30174,14675,19443
552,29747,14905,19390
553,29354,15113,19336
554,28975,15327,19351
555,28476,15554,19321
556,27903,15764,19342
557,27392,16027,19303
558,26943,16197,19236
559,26474,16430,19196
560,26072,16669,19112
561,25713,16892,19070
562,25245,17100,19002
563,24779,17345,18961
564,24415,17545,18922
565,24010,17776,18932
566,23600,17997,18896
567,23109,18231,18879
568,22663,18436,18873
569,22151,18669,18872
570,21666,18910,18850
571,21282,19078,18856
572,20818,19298,18831
573,20263,19495,18834
574,19889,19680,18857
575,19476,19888,18900
576,19043,20074,18957
577,18470,20265,19003
578,18012,20469,19052
579,17521,20608,19107
580,17033,20802,19170
581,16516,20935,19240
582,16084,21075,19340
583,15634,21230,19387
584,15212,21364,19484
585,14823,21500,19613
586,14340,21648,19742
587,13900,21747,19849
588,13382,21848,19960
589,12895,21958,20117
590,12402,22037,20262
591,11902,22098,20420
592,11474,22162,20575
593,10946,22239,20766
594,10486,22276,20955
595,9939,22349,21191
596,9498,22393,21328
597,9030,22423,21500
598,8567,22461,21696
599,8160,22478,21894
600,7748,22466,22089
601,7354,22432,22311
602,6956,22448,22498
603,6572,22407,22719
604,6191,22422,22942
605,5903,22363,23139
606,5556,22319,23343
607,5275,22282,23556
608,5004,22199,23796
609,4700,22124,24012
610,4396,21996,24240
611,4112,21908,24434
612,3872,21813,24655
613,3600,21715,24898
614,3318,21555,25104
615,3093,21438,25321
616,2917,21323,25517
617,2705,21178,25776
618,2488,21008,25997
619,2321,20875,26211
620,2176,20720,26428
621,1979,20582,26646
622,1841,20417,26873
623,1721,20268,27093
624,1596,20093,27317
625,1457,19921,27525
626,1342,19745,27737
627,1220,19576,27935
628,1091,19385,28166
629,949,19216,28360
630,855,19048,28569
631,769,18824,28797
632,701,18629,28987
633,626,18434,29191
634,539,18243,29408
635,480,18059,29635
636,416,17847,29854
637,373,17645,30048
638,314,17439,30288
639,266,17226,30456
640,230,16975,30652
